project,tool,command
airyhq_airy,github-actions,build //...
airyhq_airy,github-actions,run //lib/typescript/httpclient:publish-npm release
airyhq_airy,github-actions,run //frontend/chat-plugin/lib:publish-npm release
bazelbuild_rules_pkg,buildkite,common: &common
  working_directory: ../examples/naming_package_files
  build_targets:
  - "..."

tasks:
  centos7:
    platform: centos7
    <<: *common
  ubuntu1804:
    platform: ubuntu1804
    <<: *common
  macos:
    platform: macos
    <<: *common
  windows:
    platform: windows
    <<: *common
  bzlmod:
    name: bzlmod
    platform: ubuntu1804
    build_flags:
      - "--experimental_enable_bzlmod"
    <<: *common

bazelbuild_rules_pkg,buildkite,common: &common
  working_directory: ../examples/rich_structure
  build_targets:
  - "..."

tasks:
  centos7:
    platform: centos7
    <<: *common
  ubuntu1804:
    platform: ubuntu1804
    <<: *common
  macos:
    <<: *common
  windows:
    <<: *common

bazelbuild_rules_pkg,buildkite,lts: &lts
  bazel: latest

rolling: &rolling
  bazel: rolling


common: &common
  platform: ubuntu1804
  working_directory: /workdir
  build_targets:
  - "distro:*"

tasks:
  rolling_ubuntu:
    name: rolling_distro
    <<: *rolling
    <<: *common
  lts_ubuntu:
    name: lts_distro
    platform: ubuntu1804
    <<: *lts
    <<: *common

bazelbuild_rules_pkg,buildkite,
common: &common
  working_directory: ..

#
# Bazel releases
#
lts: &lts
  bazel: latest

rolling: &rolling
  bazel: rolling

#
# Groups of tests, by platform
#

# rpmbuild(8) is not available or installed on most platforms
default_tests: &default_tests
  test_targets:
    - "//distro/..."
    - "//pkg/..."
    - "//tests/..."
    - "//toolchains/..."
    - "-//tests/rpm/..."
    - "-//pkg/legacy/tests/rpm/..."

default_tests_with_rpm: &default_tests_with_rpm
  test_targets:
    - "//distro/..."
    - "//pkg/..."
    - "//tests/..."
    - "//toolchains/..."

win_tests: &win_tests
  test_targets:
    - "//pkg/..."
    - "//tests/..."
    - "//toolchains/..."
    - "-//tests:package_naming_aggregate_test"
    - "-//tests:path_test"
    # Bazel might be broken w.r.t. Unicode processing for windows. Multiple issues:
    # https://github.com/bazelbuild/bazel/issues?q=is%3Aissue+is%3Aopen+%2Bunicode+%2Bwindows+
    - "-//tests/mappings:utf8_manifest_test"
    - "-//tests/mappings/filter_directory/..."
    # See #387
    - "-//tests/install/..."
    # rpmbuild(8) is not supported on Windows
    - "-//tests/rpm/..."
    - "-//pkg/legacy/tests/rpm/..."

#
# Commmon features by platform
# 
ubuntu1804: &ubuntu
  platform: ubuntu1804
  <<: *common
  <<: *default_tests
  build_targets:
    - "//distro:distro"
    - "//distro:relnotes"
    - "//doc_build:*"

centos7: &centos
  platform: centos7
  <<: *common
  <<: *default_tests_with_rpm

macos: &macos
  platform: macos
  <<: *common
  <<: *default_tests

windows: &windows
  platform: windows
  <<: *common
  <<: *win_tests

#
# Finally, the cross product of bazel releases X platforms
#
tasks:
  rolling_ubuntu:
    name: rolling_ubuntu
    <<: *ubuntu
    <<: *rolling
  rolling_macos:
    name: rolling_macos
    <<: *macos
    # It seems there is no rolling Bazel for macos.
    bazel: last_green
  rolling_windows:
    name: rolling_windows
    <<: *windows
    <<: *rolling
  lts_centos:
    name: lts_centos
    <<: *centos
    <<: *lts
  lts_macos:
    name: lts_macos
    <<: *macos
    <<: *lts
  lts_ubuntu:
    name: lts_ubuntu
    <<: *ubuntu
    <<: *lts
  lts_windows:
    name: lts_windows
    <<: *windows
    <<: *lts

bazelbuild_rules_pkg,buildkite,common: &common
  working_directory: ../examples/time_stamping
  build_targets:
  - "..."

tasks:
  centos7:
    platform: centos7
    <<: *common
  ubuntu1804:
    platform: ubuntu1804
    <<: *common
  macos:
    <<: *common
  windows:
    <<: *common

bazelbuild_rules_pkg,buildkite,imports:
- tests.yml
- examples_naming.yml
- examples_rich_structure.yml
- examples_stamping.yml
- integration.yml

google_glog,buildkite,---
tasks:
  ubuntu1804:
    name: "Ubuntu 18.04"
    platform: ubuntu1804
    build_flags:
    - "--features=layering_check"
    - "--copt=-Werror"
    build_targets:
    - "//..."
    test_flags:
    - "--features=layering_check"
    - "--copt=-Werror"
    test_targets:
    - "//..."
  macos:
    name: "macOS: latest Xcode"
    platform: macos
    build_flags:
    - "--features=layering_check"
    - "--copt=-Werror"
    build_targets:
    - "//..."
    test_flags:
    - "--features=layering_check"
    - "--copt=-Werror"
    test_targets:
    - "//..."
  windows-msvc:
    name: "Windows: MSVC 2017"
    platform: windows
    environment:
      BAZEL_VC: "C:\\Program Files (x86)\\Microsoft Visual Studio\\2017\\BuildTools\\VC"
    build_flags:
    - "--features=layering_check"
    - "--copt=/WX"
    build_targets:
    - "//..."
    test_flags:
    - "--features=layering_check"
    - "--copt=/WX"
    test_targets:
    - "//..."
  windows-clang-cl:
    name: "Windows: Clang"
    platform: windows
    environment:
      BAZEL_VC: "C:\\Program Files (x86)\\Microsoft Visual Studio\\2017\\BuildTools\\VC"
    build_flags:
    - "--noincompatible_enable_cc_toolchain_resolution"
    - "--compiler=clang-cl"
    - "--features=layering_check"
    build_targets:
    - "//..."
    test_flags:
    - "--noincompatible_enable_cc_toolchain_resolution"
    - "--compiler=clang-cl"
    - "--features=layering_check"
    test_targets:
    - "//..."

bazelbuild_rules_nodejs,github-actions,build/rules_nodejs'
bazelbuild_rules_nodejs,github-actions,build/rules_nodejs'
bazelbuild_rules_nodejs,github-actions,build/rules_nodejs'
bazelbuild_rules_nodejs,buildkite,---
bazel: 5.0.0
# Note, this will tell the user to do the wrong thing (manually run buildifer)
# See https://github.com/bazelbuild/continuous-integration/issues/1161
buildifier:
  version: 4.0.1
  # Keep this in sync with the list in .pre-commit-config.yaml
  # https://github.com/bazelbuild/buildtools/issues/479 should fix this by giving us a config file
  warnings: "-bzl-visibility,-function-docstring-args,-function-docstring-return,-print,-unnamed-macro,-provider-params,-function-docstring-header,-no-effect,-uninitialized,-rule-impl-return"
  # Note, we ought to be able to exclude third_party from this check, but currently cannot:
  # https://github.com/bazelbuild/continuous-integration/issues/1162
tasks:
  ubuntu1804:
    name: ubuntu1804
    platform: ubuntu1804
    run_targets:
    - "@yarn//:yarn"
    # Regression test for #1493
    - "//packages/create:npm_package.pack"
    - "//internal/node/test:no_deps"
    - "//internal/node/test:has_deps_legacy"
    - "//internal/node/test:has_deps"
    - "//internal/node/test:has_deps_hybrid"
    - "//internal/npm_install/test:index"
    # Disabled due to https://github.com/bazelbuild/rules_nodejs/issues/1486
    #- "@fine_grained_deps_yarn//typescript/bin:tsc"
    build_targets:
    - "//..."
    build_flags:
    # TODO(gregmagolan): figure out how to install missing shared libs
    # Without this filter the @cypress external repository will be built and that build will fail due to missing shared libs.
    - "--build_tag_filters=-cypress"
    test_flags:
    # Both chrome & firefox are missing shared libs on bazelci ubuntu.
    # On circleci we have the same issue but we can work around it using apt-get.
    # on bazelci apt-get fails with permission denied and there is no sudo
    # command to switch to root.
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_tag_filters=-e2e,-examples,-browser:chromium-local,-browser:firefox-local,-browser:custom_chrome,-cypress"
    test_targets:
    - "//..."
  ubuntu1804_debug:
    name: ubuntu1804_debug
    platform: ubuntu1804
    build_flags:
    # TODO(gregmagolan): figure out how to install missing shared libs
    # Without this filter the @cypress external repository will be built and that build will fail due to missing shared libs.
    - "--build_tag_filters=-cypress"
    test_flags:
    - "--compilation_mode=dbg"
    - "--define=VERBOSE_LOGS=1"
    # Both chrome & firefox are missing shared libs on bazelci ubuntu.
    # On circleci we have the same issue but we can work around it using apt-get.
    # on bazelci apt-get fails with permission denied and there is no sudo
    # command to switch to root.
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_tag_filters=-e2e,-examples,-browser:chromium-local,-browser:firefox-local,-browser:custom_chrome,-cypress"
    test_targets:
    - "//..."
  ubuntu1804_e2e:
    name: ubuntu1804_e2e
    platform: ubuntu1804
    # We need to reduce the memory & CPU usage of the top-level
    # bazel process for bazel-in-bazel tests to not
    # deplete the system memory completely.
    # - startup JVM memory reduced
    # - top-level bazel process should use as little memory as possible and only 1 core
    # - nested bazel process should use a limited number of cores
    shell_commands:
    - echo 'startup --host_jvm_args=-Xms256m --host_jvm_args=-Xmx1536m' >> .bazelrc
    build_flags:
    - "--build_tag_filters=e2e,-cypress"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=e2e"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    - "--test_arg=--local_ram_resources=13288"
    - "--test_arg=--local_cpu_resources=7"
    # Both chrome & firefox are missing shared libs on bazelci ubuntu.
    # On circleci we have the same issue but we can work around it using apt-get.
    # on bazelci apt-get fails with permission denied and there is no sudo
    # command to switch to root.
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_arg=--test_tag_filters=-browser:chromium-local,-browser:firefox-local,-cypress"
    test_targets:
    - "//..."
  ubuntu1804_examples:
    name: ubuntu1804_examples
    platform: ubuntu1804
    # We need to reduce the memory & CPU usage of the top-level
    # bazel process for bazel-in-bazel tests to not
    # deplete the system memory completely.
    # - startup JVM memory reduced
    # - top-level bazel process should use as little memory as possible and only 1 core
    # - nested bazel process should use a limited number of cores
    shell_commands:
    - echo 'startup --host_jvm_args=-Xms256m --host_jvm_args=-Xmx1536m' >> .bazelrc
    build_flags:
    - "--build_tag_filters=examples,-cypress"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=examples,-cypress"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    - "--test_arg=--local_ram_resources=13288"
    - "--test_arg=--local_cpu_resources=7"
    # Both chrome & firefox are missing shared libs on bazelci ubuntu.
    # On circleci we have the same issue but we can work around it using apt-get.
    # on bazelci apt-get fails with permission denied and there is no sudo
    # command to switch to root.
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_arg=--test_tag_filters=-browser:chromium-local,-browser:firefox-local,-cypress"
    - "--test_output=streamed"
    test_targets:
    - "//..."
  macos:
    name: macos
    platform: macos
    run_targets:
    - "@yarn//:yarn"
    # Regression test for #1493
    - "//packages/create:npm_package.pack"
    - "//internal/node/test:no_deps"
    - "//internal/node/test:has_deps_legacy"
    - "//internal/node/test:has_deps"
    - "//internal/node/test:has_deps_hybrid"
    - "//internal/npm_install/test:index"
    # Disabled due to https://github.com/bazelbuild/rules_nodejs/issues/1486
    #- "@fine_grained_deps_yarn//typescript/bin:tsc"
    build_targets:
    - "//..."
    test_flags:
    # Firefox are missing shared libs on bazelci mac
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_tag_filters=-e2e,-examples,-browser:firefox-local"
    test_targets:
    - "//..."
  macos_e2e:
    name: macos_e2e
    platform: macos
    # We need to reduce the memory & CPU usage of the top-level
    # bazel process for bazel-in-bazel tests to not
    # deplete the system memory completely.
    # - startup JVM memory reduced
    # - top-level bazel process should use as little memory as possible and only 1 core
    # - nested bazel process should use a limited number of cores
    shell_commands:
    - echo 'startup --host_jvm_args=-Xms256m --host_jvm_args=-Xmx1536m' >> .bazelrc
    build_flags:
    - "--build_tag_filters=e2e"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=e2e,-no-bazelci-mac"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    # TODO(gregmagolan): fix frequent flake with multiple cores in nested bazel (osx buildkite & local)
    - "--test_arg=--local_ram_resources=13288"
    # Firefox are missing shared libs on bazelci mac
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_arg=--test_tag_filters=-browser:firefox-local"
    test_targets:
    - "//..."
  macos_examples:
    name: macos_examples
    platform: macos
    # We need to reduce the memory & CPU usage of the top-level
    # bazel process for bazel-in-bazel tests to not
    # deplete the system memory completely.
    # - startup JVM memory reduced
    # - top-level bazel process should use as little memory as possible and only 1 core
    # - nested bazel process should use a limited number of cores
    shell_commands:
    - echo 'startup --host_jvm_args=-Xms256m --host_jvm_args=-Xmx1536m' >> .bazelrc
    build_flags:
    - "--build_tag_filters=examples"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=examples"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    # TODO(gregmagolan): fix frequent flake with multiple cores in nested bazel (osx buildkite & local)
    - "--test_arg=--local_ram_resources=13288"
    # Firefox are missing shared libs on bazelci mac
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_arg=--test_tag_filters=-no-bazelci-mac,-browser:firefox-local"
    test_targets:
    - "//..."
  # TODO(gregmagolan): fix platform configuraiton for this test job for Bazel 2.0
  # macos_fake_rbe:
  #   name: macos_fake_rbe
  #   platform: macos
  #   shell_commands:
  #   # Reproduce https://github.com/bazelbuild/rules_nodejs/issues/1305
  #   # TODO: switch to use real mac cross-platform RBE on CI when
  #   #       https://github.com/bazelbuild/continuous-integration/pull/749
  #   #       lands on bazelci master.
  #   - echo 'build --platforms=@rbe_default//config:platform' >> .bazelrc
  #   run_targets:
  #   - "//internal/node/test:no_deps"
  windows:
    name: windows
    platform: windows
    run_targets:
    - "@yarn//:yarn"
    - "//internal/node/test:no_deps"
    - "//internal/node/test:has_deps_legacy"
    - "//internal/node/test:has_deps"
    - "//internal/node/test:has_deps_hybrid"
    - "//internal/npm_install/test:index"
    # Disabled due to https://github.com/bazelbuild/rules_nodejs/issues/1486
    #- "@fine_grained_deps_yarn//typescript/bin:tsc"
    build_flags:
    - "--build_tag_filters=-e2e,-examples,-fix-windows,-no-bazelci-windows,-requires-runfiles"
    build_targets:
    - "//..."
    test_flags:
    # Firefox not supported on Windows with rules_webtesting (if run it exit with success)
    # See https://github.com/bazelbuild/rules_webtesting/blob/0.3.3/browsers/BUILD.bazel#L66.
    - "--test_tag_filters=-e2e,-examples,-fix-windows,-no-bazelci-windows,-requires-runfiles,-browser:firefox-local,-cypress"
    test_targets:
    - "//..."
  windows_runfiles_enabled:
    name: windows_runfiles_enabled
    platform: windows
    test_flags:
    - "--test_tag_filters=requires-runfiles,-fix-windows,-no-bazelci-windows"
    - "--enable_runfiles"
    test_targets:
    - "//..."
  windows_e2e:
    name: windows_e2e
    platform: windows
    build_flags:
    - "--build_tag_filters=e2e,-fix-windows,-no-bazelci-windows,-requires-runfiles"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=e2e,-fix-windows,-no-bazelci-windows,-requires-runfiles"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    - "--test_arg=--local_ram_resources=13288"
    # Firefox not supported on Windows with rules_webtesting (if run it exit with success)
    # See https://github.com/bazelbuild/rules_webtesting/blob/0.3.3/browsers/BUILD.bazel#L66.
    # Chrome fails to launch on Windows inside bazel-in-bazel with: [17:12:04] E/launcher -
    # spawn D:\...\external\io_bazel_rules_webtesting\third_party\chromedriver\chromedriver.out\chromedriver_win32\chromedriver.exe ENOENT
    - "--test_arg=--test_tag_filters=-fix-windows,-no-bazelci-windows,-requires-runfiles,-browser:chromium-local,-browser:firefox-local"
    test_targets:
    - "//..."
  windows_examples:
    name: windows_examples
    platform: windows
    build_flags:
    - "--build_tag_filters=examples,-fix-windows,-no-bazelci-windows,-requires-runfiles"
    build_targets:
    - "//..."
    # We control Bazel version in integration tests, so we don't need USE_BAZEL_VERSION for tests.
    skip_use_bazel_version_for_test: true
    test_flags:
    - "--test_tag_filters=examples,-fix-windows,-no-bazelci-windows,-requires-runfiles,-cypress"
    - "--local_ram_resources=792"
    # test_args will be passed to the nested bazel process
    - "--test_arg=--local_ram_resources=13288"
    # Firefox not supported on Windows with rules_webtesting (if run it exit with success)
    # See https://github.com/bazelbuild/rules_webtesting/blob/0.3.3/browsers/BUILD.bazel#L66.
    # Chrome fails to launch on Windows inside bazel-in-bazel with: [17:12:04] E/launcher -
    # spawn D:\...\external\io_bazel_rules_webtesting\third_party\chromedriver\chromedriver.out\chromedriver_win32\chromedriver.exe ENOENT
    - "--test_arg=--test_tag_filters=-fix-windows,-no-bazelci-windows,-requires-runfiles,-browser:chromium-local,-browser:firefox-local,-cypress"
    test_targets:
    - "//..."
  rbe_ubuntu1604:
    name: rbe_ubuntu1604
    platform: rbe_ubuntu1604
    build_targets:
    - "//..."
    build_flags:
    # TODO(gregmagolan): figure out how to install missing shared libs
    # Without this filter the @cypress external repository will be built and that build will fail due to missing shared libs.
    - "--build_tag_filters=-cypress,-examples,-e2e,-no-rbe,-browser:chromium-local,-browser:firefox-local"
    test_flags:
    # TODO(gregmagolan): figure out how to install missing shared libs
    - "--test_tag_filters=-cypress,-examples,-e2e,-no-rbe,-browser:chromium-local,-browser:firefox-local"
    test_targets:
    - "//..."

google_googletest,github-actions,test --cxxopt=-std=c++14 --features=external_include_paths --test_output=errors ...
google_googletest,github-actions,test --cxxopt=-std=c++14 --features=external_include_paths --test_output=errors ...
google_googletest,github-actions,test --cxxopt=/std:c++14 --features=external_include_paths --test_output=errors ...
squzy_squzy,github-actions,run: |
squzy_squzy,github-actions,isk@latest
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_monitoring:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_agent_server:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_api:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_storage:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_application_monitoring:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_incident:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=${{ steps.set_env.outputs.RELEASE_VERSION }} //apps/squzy_notification:squzy_push_hub_ci
squzy_squzy,github-actions,run: |
squzy_squzy,github-actions,isk@latest
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_monitoring:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_agent_server:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_api:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_storage:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_application_monitoring:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_incident:squzy_push_hub_ci
squzy_squzy,github-actions,isk run --stamp --workspace_status_command=./scripts/status.sh --define version=latest //apps/squzy_notification:squzy_push_hub_ci
google_gvisor,buildkite,: ABSL build benchmarks"
google_gvisor,buildkite,_test BENCHMARKS_OPTIONS=-test.benchtime=1ns
google_gvisor,buildkite,_test BENCHMARKS_OPTIONS=-test.benchtime=1ns
thundergolfer_example-bazel-monorepo,buildkite,test //..."
thundergolfer_example-bazel-monorepo,buildkite,: Build + Test"
google_brunsli,github-actions,:c
google_brunsli,github-actions,bazel_project_root: .
google_brunsli,github-actions,:java
google_brunsli,github-actions,bazel_project_root: java
google_brunsli,github-actions,if: ${{ matrix.mode == 'bazel' }}
google_brunsli,github-actions,build -c opt ...:all
google_brunsli,github-actions,if: ${{ matrix.mode == 'bazel' }}
google_brunsli,github-actions,test -c opt ...:all
dropbox_dbx_build_tools,buildkite,---
buildifier:
  version: latest
  warnings: "default"
platforms:
  ubuntu1604:
    test_targets:
    - "//:tests"
  ubuntu1804:
    test_targets:
    - "//:tests"
  macos:
    test_targets:
    - "//:tests"
  windows:
    test_flags:
    - "--enable_runfiles"
    test_targets:
    - "--"
    - "//:tests"

google_schedviz,github-actions,build server
google_schedviz,github-actions,test //...
tensorflow_tensorboard,github-actions,version in sync with the `versions.check` directive
tensorflow_tensorboard,github-actions,'
tensorflow_tensorboard,github-actions,sudo mv ~/bazel /usr/local/bin/bazel
tensorflow_tensorboard,github-actions,cp ./ci/bazelrc ~/.bazelrc
tensorflow_tensorboard,github-actions,rc \
tensorflow_tensorboard,github-actions,: fetch'
tensorflow_tensorboard,github-actions,fetch //tensorboard/...
tensorflow_tensorboard,github-actions,: build'
tensorflow_tensorboard,github-actions,build //tensorboard/... |&\
tensorflow_tensorboard,github-actions,: test (with TensorFlow support)'
tensorflow_tensorboard,github-actions,test //tensorboard/...
tensorflow_tensorboard,github-actions,: test (non-TensorFlow only)'
tensorflow_tensorboard,github-actions,test //tensorboard/... --test_tag_filters="support_notf"
tensorflow_tensorboard,github-actions,: run Pip package test (with TensorFlow support)'
tensorflow_tensorboard,github-actions,run //tensorboard/pip_package:test_pip_package -- \
tensorflow_tensorboard,github-actions,: run Pip package test (non-TensorFlow only)'
tensorflow_tensorboard,github-actions,run //tensorboard/pip_package:test_pip_package -- \
tensorflow_tensorboard,github-actions,: run manual tests'
tensorflow_tensorboard,github-actions,test //tensorboard/compat/tensorflow_stub:gfile_s3_test &&
tensorflow_tensorboard,github-actions,test //tensorboard/summary/writer:event_file_writer_s3_test &&
tensorflow_tensorboard,github-actions,test //tensorboard/compat/tensorflow_stub:gfile_fsspec_test &&
tensorflow_tensorboard,github-actions,test //tensorboard/summary/writer:event_file_writer_fsspec_test
tensorflow_tensorboard,github-actions,: build Pip package (with TensorFlow only)'
tensorflow_tensorboard,github-actions,run //tensorboard/pip_package:build_pip_package -- /tmp/tb_nightly_pip_package
tensorflow_tensorboard,github-actions,//:index.bzl"' 'tensorboard/**/BUILD'
tensorflow_tensorboard,github-actions,build/buildtools/blob/master/buildozer/README.md#error-code
vaticle_biograkn,circleci,-linux-rbe:
vaticle_biograkn,circleci,-linux.sh
vaticle_biograkn,circleci,-linux.sh
vaticle_biograkn,circleci,-rbe.sh
vaticle_biograkn,circleci,-rbe.sh
vaticle_biograkn,circleci,-rbe:
vaticle_biograkn,circleci,-rbe -- << parameters.command >>
vaticle_biograkn,circleci,-rbe:
vaticle_biograkn,circleci,build @graknlabs_grakn_core//:assemble-linux-targz
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/grakn-core-all-linux.tar.gz -C ./dist/
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,run @graknlabs_build_tools//checkstyle:test-coverage
vaticle_biograkn,circleci,build //...
vaticle_biograkn,circleci,run @graknlabs_build_tools//unused_deps -- list
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,build @graknlabs_grakn_core//:assemble-linux-targz
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/grakn-core-all-linux.tar.gz -C ./dist/
vaticle_biograkn,circleci,test --test_output=streamed //migrator:assemble-mock-test
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,build @graknlabs_grakn_core//:assemble-mac-zip
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/grakn-core-all-mac/grakn server start
vaticle_biograkn,circleci,test --test_output=streamed //migrator:assemble-mock-test
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/grakn-core-all-mac/grakn server stop
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,test //migrator:assemble-all-test
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,build @graknlabs_grakn_core//:assemble-mac-zip
vaticle_biograkn,circleci,-genfiles/external/graknlabs_grakn_core/grakn-core-all-mac.zip -d dist/
vaticle_biograkn,circleci,run //migrator:migrator-bin TODO: uncomment
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,test //migrator:assemble-all-test
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,run @graknlabs_build_tools//ci:release-approval
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,run @graknlabs_build_tools//ci:release-validate-deps -- \
vaticle_biograkn,circleci,-linux-rbe
vaticle_biograkn,circleci,-linux-rbe
tweag_clodl,circleci,to clean up old items (LRU style):
tweag_clodl,circleci,.build/versions/master/remote-caching.html
tweag_clodl,circleci,/issues/5139
tweag_clodl,circleci,/
tweag_clodl,circleci,rc.local
tweag_clodl,circleci,build //...'
tweag_clodl,circleci,run clotestbin'
tweag_clodl,circleci,run clotestbin-cc'
tweag_clodl,circleci,run hello-java'
tweag_clodl,circleci,/
tweag_clodl,circleci,/
tweag_clodl,circleci,/
tweag_clodl,circleci,/
tweag_clodl,buildkite,rc.local
tweag_clodl,buildkite,build //...'
tweag_clodl,buildkite,run clotestbin'
tweag_clodl,buildkite,run clotestbin-cc'
tweag_clodl,buildkite,run hello-java'
tweag_clodl,buildkite,run //:buildifier-diff'
bazelbuild_buildtools,buildkite,---
buildifier:
  version: latest
  warnings: "default"
platforms:
  ubuntu1604:
    test_targets:
    - "//..."
  ubuntu1804:
    test_targets:
    - "//..."
  macos:
    test_targets:
    - "//..."
  windows:
    test_flags:
    - "--enable_runfiles"
    test_targets:
    - "--"
    - "//:tests"

bazelbuild_rules_docker,github-actions,_rules_docker",
bazelbuild_rules_docker,github-actions,isk-linux-amd64
bazelbuild_rules_docker,github-actions,isk
bazelbuild_rules_docker,github-actions,isk || exit 1
bazelbuild_rules_docker,github-actions,_rules_go//go/toolchain:${{ matrix.os }}_${{ matrix.cpu }} container/go/cmd/${{ matrix.application }}:${{ matrix.application }}
bazelbuild_rules_docker,github-actions,-bin/container/go/cmd/${{ matrix.application }}/${{ matrix.application }}_/${{ matrix.application }} | awk '{print $1}' > /tmp/output.sha256
bazelbuild_rules_docker,github-actions,-bin/container/go/cmd/${{ matrix.application }}/${{ matrix.application }}_/${{ matrix.application }}
bazelbuild_rules_docker,buildkite,---
buildifier:
  version: 4.0.1
  # Keep this argument in sync with .pre-commit-config.yml
  warnings: "-function-docstring-args,-print,-provider-params,-unnamed-macro"
bazel: 4.0.0
tasks:
  default_workspace_ubuntu2004:
    platform: ubuntu2004
    test_targets:
      - //...
    test_flags:
      - --config=buildkite
  default_workspace_macos:
    platform: macos
    test_targets:
      # Use "bazel query 'kind(".*_test", ...)'" to refresh this list.
      #
      # NOTE: per Philipp Wollermann, docker is not installed on the macos
      # buildkite runners due to security concerns.
      #
      # Tests excluded from macos
      - -//:structure_test_at_workspace_root
      - -//testing/new_pusher_tests:new_push_verify_pushed_configs_and_files
      - -//tests/container:alpine_amd64_image_test
      - -//tests/container:alpine_arm_image_test
      - -//tests/container:alpine_linux_amd64_image_oci_tar_test
      - -//tests/container:alpine_linux_amd64_image_oci_test
      - -//tests/container:alpine_linux_amd64_image_tar_test
